scenario,scenario_label,roof_scenario,roof_label,depot_id,depot_name,grid_cap_kw,pv_cap_max_kwp,installed_pv_kwp,installed_bess_energy_kwh,installed_bess_power_kw,grid_energy_kwh,peak_grid_kw,bus_charge_kwh,unserved_kwh,pv_generation_kwh,pv_used_kwh,pv_curtailment_pct,bess_charge_kwh,bess_discharge_kwh,energy_cost_cop,co2_kg,objective_cop,termination_condition,solver,solver_manager,capacity_mode
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ001,Las Mercedes,3120.0,0.0,0.0,0.0,0.0,23478.0,3052.1400000000003,23478.0,0.0,0.0,0.0,0.0,0.0,0.0,6080461.41912674,4155.606,9132601.41912674,optimal,appsi_highs,local,technical
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ006,Perdomo I,487.5,0.0,0.0,0.0,0.0,3354.0,436.02,3354.0,0.0,0.0,0.0,0.0,0.0,0.0,868637.3455895343,593.658,1304657.3455895341,optimal,appsi_highs,local,technical
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ039,El Refugio,4095.0,0.0,0.0,0.0,0.0,27735.000000000004,3605.55,27735.000000000004,0.0,0.0,0.0,0.0,0.0,0.0,7182962.665451918,4909.095,10788512.665451918,optimal,appsi_highs,local,technical
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ040,Aeropuerto,4290.0,0.0,0.0,0.0,0.0,28956.0,3764.28,28956.0,0.0,0.0,0.0,0.0,0.0,0.0,7499183.953157589,5125.2119999999995,11263463.953157589,optimal,appsi_highs,local,technical
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ041,Usme,4485.0,0.0,0.0,0.0,0.0,33615.25,4369.9825,33615.25,0.0,0.0,0.0,0.0,0.0,0.0,8705862.11428998,5949.8992499999995,13075844.61428998,optimal,appsi_highs,local,technical
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ047,Venecia,5752.5,0.0,0.0,0.0,0.0,34988.5,4548.505,34988.5,0.0,0.0,0.0,0.0,0.0,0.0,9061513.943398753,6192.9645,13610018.943398753,optimal,appsi_highs,local,technical
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ048,Venecia,7117.5,0.0,0.0,0.0,0.0,41629.0,5411.77,41629.0,0.0,0.0,0.0,0.0,0.0,0.0,10781307.113758713,7368.333,16193077.113758713,optimal,appsi_highs,local,technical
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ049,Escritorio IV,13600.0,0.0,0.0,0.0,0.0,38066.5,4948.645,38066.5,0.0,0.0,0.0,0.0,0.0,0.0,9858671.29275015,6737.7705000000005,14807316.29275015,optimal,appsi_highs,local,technical
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ050,Usme II,7702.5,0.0,0.0,0.0,0.0,46654.5,6065.085,46654.5,0.0,0.0,0.0,0.0,0.0,0.0,12082838.711928124,8257.8465,18147923.71192812,optimal,appsi_highs,local,technical
S0,"Unmanaged charging, no PV/BESS",R0,No PV,PZ052,Perdomo,7605.0,0.0,0.0,0.0,0.0,40793.0,5303.09,40793.0,0.0,0.0,0.0,0.0,0.0,0.0,10564795.24109537,7220.361,15867885.24109537,optimal,appsi_highs,local,technical
S1,"Smart charging, no PV/BESS",R0,No PV,PZ001,Las Mercedes,3120.0,0.0,0.0,0.0,0.0,23477.999999999993,1565.2,23477.999999999993,0.0,0.0,0.0,0.0,0.0,0.0,5061908.251768985,4155.605999999999,6627108.251768985,optimal,appsi_highs,local,technical
S1,"Smart charging, no PV/BESS",R0,No PV,PZ006,Perdomo I,487.5,0.0,0.0,0.0,0.0,3354.000000000001,223.60000000000062,3354.000000000001,0.0,0.0,0.0,0.0,0.0,0.0,723129.7502527124,593.6580000000001,946729.7502527124,optimal,appsi_highs,local,technical
S1,"Smart charging, no PV/BESS",R0,No PV,PZ039,El Refugio,4095.0,0.0,0.0,0.0,0.0,27735.0,1733.4375,27735.0,0.0,0.0,0.0,0.0,0.0,0.0,5948263.552318767,4909.094999999999,7681701.052318767,optimal,appsi_highs,local,technical
S1,"Smart charging, no PV/BESS",R0,No PV,PZ040,Aeropuerto,4290.0,0.0,0.0,0.0,0.0,28955.99999999999,1930.4000000000012,28955.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,6242977.05674345,5125.211999999999,8173377.0567434495,optimal,appsi_highs,local,technical
S1,"Smart charging, no PV/BESS",R0,No PV,PZ041,Usme,4485.0,0.0,0.0,0.0,0.0,33615.249999999985,1977.3676470588234,33615.249999999985,0.0,0.0,0.0,0.0,0.0,0.0,7443398.775156964,5949.899249999997,9420766.422215788,optimal,appsi_highs,local,technical
S1,"Smart charging, no PV/BESS",R0,No PV,PZ047,Venecia,5752.5,0.0,0.0,0.0,0.0,34988.50000000001,2332.566666666674,34988.50000000001,0.0,0.0,0.0,0.0,0.0,0.0,7543597.27689834,6192.964500000001,9876163.943565007,optimal,appsi_highs,local,technical
S1,"Smart charging, no PV/BESS",R0,No PV,PZ048,Venecia,7117.5,0.0,0.0,0.0,0.0,41629.0,2775.266666666667,41629.0,0.0,0.0,0.0,0.0,0.0,0.0,8975303.629478283,7368.332999999999,11750570.29614495,optimal,appsi_highs,local,technical
S1,"Smart charging, no PV/BESS",R0,No PV,PZ049,Escritorio IV,13600.0,0.0,0.0,0.0,0.0,38066.49999999999,2537.766666666667,38066.49999999999,0.0,0.0,0.0,0.0,0.0,0.0,8207220.8223001985,6737.770499999998,10744987.488966865,optimal,appsi_highs,local,technical
S1,"Smart charging, no PV/BESS",R0,No PV,PZ050,Usme II,7702.5,0.0,0.0,0.0,0.0,46654.499999999985,3110.3000000000025,46654.499999999985,0.0,0.0,0.0,0.0,0.0,0.0,10058812.442804161,8257.846499999998,13169112.442804161,optimal,appsi_highs,local,technical
S1,"Smart charging, no PV/BESS",R0,No PV,PZ052,Perdomo,7605.0,0.0,0.0,0.0,0.0,40793.0,2719.533333333336,40793.0,0.0,0.0,0.0,0.0,0.0,0.0,8795060.197393827,7220.361000000001,11514593.530727161,optimal,appsi_highs,local,technical
S2,Smart charging with depot rooftop PV,R1,"Internal depot roofs, conservative",PZ001,Las Mercedes,3120.0,10.090496039105595,10.090496039105595,0.0,0.0,23451.064134602137,1563.404275640143,23477.999999999993,0.0,37.342034334651714,26.93586539786109,27.867172001216247,0.0,0.0,5056100.820159565,4150.838351824577,6627887.118810821,optimal,appsi_highs,local,technical
S2,Smart charging with depot rooftop PV,R1,"Internal depot roofs, conservative",PZ006,Perdomo I,487.5,53.06603379939529,53.06603379939529,0.0,0.0,3212.343976541954,214.1562651027971,3354.0,0.0,196.382184628106,141.65602345804564,27.867172001216254,0.0,0.0,692588.4011575993,568.5848838479258,950825.8209123871,optimal,appsi_highs,local,technical
S2,Smart charging with depot rooftop PV,R1,"Internal depot roofs, conservative",PZ039,El Refugio,4095.0,110.5606705870194,110.5606705870194,0.0,0.0,27439.866110676056,1714.9916319172592,27735.000000000015,0.0,409.15335986679054,295.13388932395674,27.86717200121625,0.0,0.0,5884966.845741529,4856.856301589662,7691799.560732712,optimal,appsi_highs,local,technical
S2,Smart charging with depot rooftop PV,R1,"Internal depot roofs, conservative",PZ040,Aeropuerto,4290.0,116.76465644982248,116.76465644982248,0.0,0.0,28644.30500927102,1909.6203339514077,28956.000000000004,0.0,432.11253374710867,311.6949907289883,27.867172001216247,0.0,0.0,6175774.933666269,5070.041986640969,8182389.9082631115,optimal,appsi_highs,local,technical
S2,Smart charging with depot rooftop PV,R1,"Internal depot roofs, conservative",PZ041,Usme,4485.0,18.27096534361959,18.27096534361959,0.0,0.0,33547.63439294315,1973.3902584084208,33615.249999999985,0.0,67.61560705683107,67.61560705683107,0.0,0.0,0.0,7428426.70364929,5937.931287550938,9416994.37765274,optimal,appsi_highs,local,technical
S2,Smart charging with depot rooftop PV,R1,"Internal depot roofs, conservative",PZ047,Venecia,5752.5,0.0,0.0,0.0,0.0,34988.50000000001,2332.566666666674,34988.50000000001,0.0,0.0,0.0,0.0,0.0,0.0,7543597.27689834,6192.964500000001,9876163.943565007,optimal,appsi_highs,local,technical
S2,Smart charging with depot rooftop PV,R1,"Internal depot roofs, conservative",PZ048,Venecia,7117.5,0.0,0.0,0.0,0.0,41629.0,2775.266666666667,41629.0,0.0,0.0,0.0,0.0,0.0,0.0,8975303.629478283,7368.332999999999,11750570.29614495,optimal,appsi_highs,local,technical
S2,Smart charging with depot rooftop PV,R1,"Internal depot roofs, conservative",PZ049,Escritorio IV,13600.0,0.0,0.0,0.0,0.0,38066.49999999999,2537.766666666667,38066.49999999999,0.0,0.0,0.0,0.0,0.0,0.0,8207220.8223001985,6737.770499999998,10744987.488966865,optimal,appsi_highs,local,technical
S2,Smart charging with depot rooftop PV,R1,"Internal depot roofs, conservative",PZ050,Usme II,7702.5,265.1990981766183,265.1990981766183,0.0,0.0,45946.56976699307,3063.1046511328714,46654.5,0.0,981.4258675936949,707.9302330069311,27.86717200121625,0.0,0.0,9906181.133146845,8132.542848757772,13189582.678984238,optimal,appsi_highs,local,technical
