depot_id,buffer_m,building_count,building_roof_area_m2,internal_carport_area_m2,pv_cap_conservative_kwp,pv_cap_medium_kwp,pv_cap_high_kwp,pv_cap_carport_kwp,roof_method,overlap_warning
PZ001,0,1,201.8099207821119,4523.472549661754,10.090496039105595,16.144793662568954,22.199091286032314,655.4852482386779,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ001,500,160,24636.8824330143,0.0,1231.8441216507151,1970.9505946411443,2710.0570676315733,2710.0570676315733,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ001,1000,2016,146982.71942174208,0.0,7349.135971087104,11758.617553739366,16168.09913639163,16168.09913639163,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ001,2000,17128,1204302.905856399,0.0,60215.14529281996,96344.23246851194,132473.31964420393,132473.31964420393,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ006,0,11,1061.3206759879058,3292.494612119184,53.06603379939529,84.90565407903247,116.74527435866965,577.6945200553554,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ006,500,6475,428573.63676006655,0.0,21428.68183800333,34285.89094080533,47143.10004360732,47143.10004360732,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ006,1000,26835,1388588.1174252545,0.0,69429.40587126273,111087.04939402037,152744.692916778,152744.692916778,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ006,2000,108616,4918961.984273882,0.0,245948.0992136941,393516.9587419106,541085.818270127,541085.818270127,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ039,0,4,2211.2134117403875,2855.1422915261337,110.56067058701939,176.89707293923104,243.2334752914427,642.9533961051014,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ039,500,7427,426438.8568858402,0.0,21321.94284429201,34115.10855086722,46908.27425744243,46908.27425744243,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
