depot_id,depot_name,operator_family,concesionario_operacion,zone,zone_norm,component,assignment_method,assignment_confidence,route_code,route_label,route_total_validations,operator_total_validations,route_share_operator,route_bus_count_proxy,route_daily_energy_kwh_proxy,gtfs_route_id_match,gtfs_short_name_match,gtfs_any_match,source_note
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10371,HH604,2026.6363636363637,251531.9090909091,0.00805717402201998,0.2497723946826194,45.0839172402128,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10386,91,2893.590909090909,251531.9090909091,0.011503872091413668,0.3566200348338237,64.36991628750518,True,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10387,H640-H641,3315.1363636363635,251531.9090909091,0.013179784527609184,0.4085733203558847,73.74748432423719,True,False,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10389,99,5224.772727272727,251531.9090909091,0.02077180881803899,0.6439260733592087,116.22865624133716,True,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10391,GA501,3255.3181818181815,251531.9090909091,0.012941969047122522,0.4012010404607982,72.41678780317407,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10393,634,7168.318181818182,251531.9090909091,0.02849864340363829,0.883457945512787,159.46415916505805,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10396,P24,7881.909090909091,251531.9090909091,0.0313356230602949,0.9714043148691419,175.33847883388012,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10399,580,8116.454545454545,251531.9090909091,0.032268091053692445,1.0003108226644657,180.55610349093607,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10402,731,8083.590909090909,251531.9090909091,0.03213743710810593,0.9962605503512839,179.82502933840675,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10404,56A,3164.272727272727,251531.9090909091,0.012580005211700954,0.3899801615627296,70.39141916207268,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10415,GH521,6300.636363636364,251531.9090909091,0.02504905396062166,0.7765206727792715,140.1619814366585,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10424,927,7718.181818181818,251531.9090909091,0.03068470257343095,0.9512257797763595,171.6962532496329,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10428,HA620,3901.5454545454545,251531.9090909091,0.015511135221954488,0.48084519188058916,86.79255713444634,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10432,GG524,4164.272727272727,251531.9090909091,0.01655564394324089,0.5132249622404675,92.6371056844044,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10557,GA506,1708.4545454545455,251531.9090909091,0.006792198061984545,0.2105581399215209,38.00574425583452,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10558,C701,8660.090909090908,251531.9090909091,0.0344293928368387,1.0673111779419997,192.64966761853094,True,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10559,GA518,3896.0,251531.9090909091,0.015489088498079586,0.4801617434404672,86.66919469100432,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
